"userName","userId","rating","movieId"
"Omar Huffman","1","2.0","2294"
"Omar Huffman","1","2.5","2455"
"Omar Huffman","1","1.0","2968"
"Omar Huffman","1","3.0","3671"
"Omar Huffman","1","4.0","1953"
"Omar Huffman","1","4.0","2105"
"Omar Huffman","1","3.0","2150"
"Omar Huffman","1","2.0","2193"
"Omar Huffman","1","3.0","1061"
"Omar Huffman","1","2.0","1129"
"Omar Huffman","1","2.5","31"
"Omar Huffman","1","3.0","1029"
"Omar Huffman","1","2.0","1287"
"Omar Huffman","1","2.0","1293"
"Omar Huffman","1","4.0","1172"
"Omar Huffman","1","2.0","1263"
"Omar Huffman","1","2.5","1371"
"Omar Huffman","1","1.0","1405"
"Omar Huffman","1","3.5","1339"
"Omar Huffman","1","2.0","1343"
"Mr. Jason Love","2","3.0","248"
"Mr. Jason Love","2","3.0","235"
"Mr. Jason Love","2","4.0","261"
"Mr. Jason Love","2","4.0","253"
"Mr. Jason Love","2","5.0","222"
"Mr. Jason Love","2","3.0","208"
"Mr. Jason Love","2","3.0","225"
"Mr. Jason Love","2","1.0","223"
"Mr. Jason Love","2","3.0","168"
"Mr. Jason Love","2","3.0","165"
"Mr. Jason Love","2","3.0","186"
"Mr. Jason Love","2","3.0","185"
"Mr. Jason Love","2","5.0","150"
"Mr. Jason Love","2","3.0","144"
"Mr. Jason Love","2","3.0","161"
"Mr. Jason Love","2","4.0","153"
"Mr. Jason Love","2","4.0","50"
"Mr. Jason Love","2","3.0","52"
"Mr. Jason Love","2","3.0","62"
"Mr. Jason Love","2","4.0","110"
"Mr. Jason Love","2","4.0","10"
"Mr. Jason Love","2","5.0","17"
"Mr. Jason Love","2","5.0","39"
"Mr. Jason Love","2","4.0","47"
"Mr. Jason Love","2","4.0","500"
"Mr. Jason Love","2","3.0","497"
"Mr. Jason Love","2","5.0","551"
"Mr. Jason Love","2","3.0","550"
"Mr. Jason Love","2","3.0","539"
"Mr. Jason Love","2","4.0","537"
"Mr. Jason Love","2","4.0","527"
"Mr. Jason Love","2","4.0","515"
"Mr. Jason Love","2","4.0","509"
"Mr. Jason Love","2","4.0","508"
"Mr. Jason Love","2","5.0","592"
"Mr. Jason Love","2","5.0","590"
"Mr. Jason Love","2","5.0","589"
"Mr. Jason Love","2","3.0","588"
"Mr. Jason Love","2","3.0","587"
"Mr. Jason Love","2","3.0","586"
"Mr. Jason Love","2","5.0","585"
"Mr. Jason Love","2","3.0","552"
"Mr. Jason Love","2","4.0","661"
"Mr. Jason Love","2","4.0","720"
"Mr. Jason Love","2","3.0","593"
"Mr. Jason Love","2","3.0","616"
"Mr. Jason Love","2","5.0","266"
"Mr. Jason Love","2","5.0","265"
"Mr. Jason Love","2","4.0","273"
"Mr. Jason Love","2","3.0","272"
"Mr. Jason Love","2","4.0","296"
"Mr. Jason Love","2","3.0","292"
"Mr. Jason Love","2","4.0","314"
"Mr. Jason Love","2","3.0","300"
"Mr. Jason Love","2","1.0","319"
"Mr. Jason Love","2","2.0","317"
"Mr. Jason Love","2","4.0","349"
"Mr. Jason Love","2","3.0","339"
"Mr. Jason Love","2","3.0","356"
"Mr. Jason Love","2","4.0","350"
"Mr. Jason Love","2","3.0","364"
"Mr. Jason Love","2","3.0","357"
"Mr. Jason Love","2","3.0","367"
"Mr. Jason Love","2","2.0","370"
"Mr. Jason Love","2","3.0","371"
"Mr. Jason Love","2","3.0","372"
"Mr. Jason Love","2","3.0","377"
"Mr. Jason Love","2","3.0","382"
